x_mm,y_mm,stroke_id
327.944,560.322,0
328.951,560.322,0
329.958,560.322,0
330.965,560.322,0
331.972,560.322,0
332.979,560.322,0
333.985,560.322,0
334.992,560.322,0
335.999,560.322,0
337.006,560.322,0
338.013,560.322,0
339.020,560.322,0
339.194,559.490,0
339.194,558.483,0
338.760,557.578,0
338.309,556.678,0
337.628,555.944,0
336.809,555.380,0
335.909,554.930,0
334.957,554.697,0
333.950,554.697,0
332.943,554.697,0
332.010,555.008,0
331.109,555.459,0
330.323,556.068,0
329.611,556.780,0
328.899,557.492,0
328.571,558.441,0
328.253,559.397,0
327.944,560.353,0
327.944,561.360,0
327.998,562.358,0
328.316,563.314,0
328.635,564.269,0
329.041,565.169,0
329.753,565.881,0
330.465,566.593,0
331.289,567.151,0
332.189,567.601,0
333.144,567.822,0
334.151,567.822,0
335.158,567.822,0
336.088,567.500,0
336.989,567.050,0
337.770,566.434,0
338.482,565.722,0
339.194,565.010,0
379.507,564.072,1
378.734,564.845,1
377.962,564.403,1
378.074,563.630,1
378.846,563.412,1
379.507,564.230,1
379.507,565.322,1
379.176,566.278,1
378.404,567.050,1
377.632,567.822,1
416.069,557.510,2
416.786,556.793,2
417.502,556.077,2
418.291,555.461,2
419.197,555.008,2
420.137,554.697,2
421.150,554.697,2
422.163,554.697,2
423.119,554.941,2
424.025,555.394,2
424.842,555.971,2
425.559,556.687,2
426.275,557.403,2
426.654,558.328,2
426.975,559.289,2
427.295,560.251,2
427.319,561.260,2
427.295,562.269,2
426.975,563.230,2
426.654,564.191,2
426.275,565.116,2
425.559,565.833,2
424.842,566.549,2
424.025,567.126,2
423.119,567.579,2
422.163,567.822,2
421.150,567.822,2
420.137,567.822,2
419.197,567.511,2
418.291,567.058,2
417.502,566.443,2
416.786,565.726,2
416.069,565.010,2
443.257,554.697,3
442.860,555.622,3
442.464,556.548,3
442.067,557.473,3
441.671,558.398,3
441.274,559.323,3
440.878,560.248,3
440.481,561.174,3
440.085,562.099,3
439.688,563.024,3
439.292,563.949,3
438.895,564.874,3
438.499,565.799,3
438.102,566.725,3
437.706,567.650,3
437.265,568.555,3
436.815,569.455,3
436.365,570.355,3
435.915,571.256,3
435.295,572.034,3
434.583,572.746,3
433.869,573.454,3
432.969,573.904,3
432.068,574.354,3
431.069,574.385,3
448.882,557.510,4
449.598,556.793,4
450.314,556.077,4
451.103,555.461,4
452.010,555.008,4
452.949,554.697,4
453.963,554.697,4
454.976,554.697,4
455.931,554.941,4
456.838,555.394,4
457.655,555.971,4
458.371,556.687,4
459.088,557.403,4
459.467,558.328,4
459.787,559.289,4
460.108,560.251,4
460.132,561.260,4
460.108,562.269,4
459.787,563.230,4
459.467,564.191,4
459.088,565.116,4
458.371,565.833,4
457.655,566.549,4
456.838,567.126,4
455.931,567.579,4
454.976,567.822,4
453.963,567.822,4
452.949,567.822,4
452.010,567.511,4
451.103,567.058,4
450.314,566.443,4
449.598,565.726,4
448.882,565.010,4
465.757,560.322,5
466.763,560.322,5
467.770,560.322,5
468.777,560.322,5
469.784,560.322,5
470.791,560.322,5
471.798,560.322,5
472.805,560.322,5
473.812,560.322,5
474.819,560.322,5
475.825,560.322,5
476.832,560.322,5
477.007,559.490,5
477.007,558.483,5
476.572,557.578,5
476.122,556.678,5
475.441,555.944,5
474.622,555.380,5
473.721,554.930,5
472.769,554.697,5
471.762,554.697,5
470.756,554.697,5
469.822,555.008,5
468.921,555.459,5
468.136,556.068,5
467.424,556.780,5
466.712,557.492,5
466.384,558.441,5
466.065,559.397,5
465.757,560.353,5
465.757,561.360,5
465.810,562.358,5
466.129,563.314,5
466.447,564.269,5
466.854,565.169,5
467.566,565.881,5
468.278,566.593,5
469.101,567.151,5
470.002,567.601,5
470.956,567.822,5
471.963,567.822,5
472.970,567.822,5
473.901,567.500,5
474.802,567.050,5
475.583,566.434,5
476.295,565.722,5
477.007,565.010,5
364.507,554.697,6
363.607,555.147,6
362.708,555.597,6
361.981,556.286,6
361.270,556.997,6
360.668,557.776,6
360.350,558.730,6
360.032,559.684,6
359.819,560.655,6
359.819,561.660,6
359.967,562.642,6
360.285,563.596,6
360.603,564.550,6
361.125,565.378,6
361.836,566.089,6
362.547,566.800,6
363.424,567.281,6
364.324,567.731,6
365.308,567.822,6
366.313,567.822,6
367.319,567.822,6
368.219,567.373,6
369.118,566.923,6
369.845,566.234,6
370.556,565.523,6
371.158,564.744,6
371.476,563.790,6
371.794,562.836,6
372.007,561.865,6
372.007,560.859,6
371.858,559.878,6
371.540,558.924,6
371.222,557.970,6
370.701,557.141,6
369.990,556.430,6
369.279,555.719,6
368.401,555.238,6
367.502,554.789,6
366.518,554.697,6
365.512,554.697,6
364.507,554.697,6
484.507,565.947,7
483.757,566.697,7
484.132,567.447,7
484.882,567.447,7
485.257,566.697,7
484.507,565.947,7
308.257,548.135,8
308.257,549.171,8
308.257,550.207,8
308.257,551.243,8
308.257,552.280,8
308.257,553.316,8
308.257,554.352,8
308.257,555.388,8
308.257,556.424,8
308.257,557.460,8
308.257,558.497,8
